document	label
hms loch lomond (k437/f437) was a loch-class frigate of the british royal navy. the ship was named after loch lomond in scotland.the ship was ordered from caledon shipbuilding & engineering company dundee scotland on 2 february 1943 and laid down on 7 december 1943. launched on 19 june 1944 and completed on 16 november 1944 the ship was commissioned soon after.	,
kao corporation (花王株式会社 kaō kabushiki-gaisha) is a chemical and cosmetics company headquartered in nihonbashi-kayabacho chūō tokyo japan.	 
editora nacional quimantú was a chilean publishing house created in 1971 by salvador allende's unidad popular government. it was founded under the premise of offering various literary works and a view of chilean culture not covered by the official bourgeois tradition by then at an accessible price for the country's working class.	d
sj (formally sj ab) is a government-owned passenger train operator in sweden. sj was created in 2000 out of the public transport division of statens järnvägar when the former government agency was divided into six separate government-owned limited companies.	t
musashi junior & senior high school (武蔵高等学校 中学校 musashi kōtōgakkō chūgakkō) is a distinguished privately owned school based in nerima tokyo.it was founded in 1922 as musashi high school one of the first two schools using the old seven-year system taking students up to the equivalent of the first two years of university in the current system. it became the prototype for modern integrated junior and senior high schools.	y
śladków podleśny [ˈɕlatkuf pɔdˈlɛɕnɨ] is a village in the administrative district of gmina piątek within łęczyca county łódź voivodeship in central poland. it lies approximately 9 kilometres (6 mi) south-west of piątek 13.9 km (9 mi) east of łęczyca and 27 km (17 mi) north of the regional capital łódź.	p
sarah maclean (born december 17 1978) is an american author of young adult novels and romance novels. her first adult romance novel nine rules to break when romancing a rake debuted on the new york times bestseller list where it stayed for four weeks.	e
george gilman is a politician from the u.s. state of oregon. he served as the state representative for district 55 of the oregon house of representatives the second largest house district in oregon from 2003 to 2011.	:
milken community schools colloquially milken is a private jewish high school. it is located on mulholland drive in the bel-air area of los angeles california.milken's middle school encompasses grades 7 through 8 while the upper school spans 9 through 12. about 200 students are enrolled in the middle school while 600 students are enrolled in the upper school making it the largest jewish day school in the united states.[citation needed]long affiliated with stephen s.	 
the aeroandina mxp-1000 tayrona is a single engine high wing two seat ultralight based on the zenair formula developed in colombia by aeroandina. it was launched in 2005.	i
rhys chatham (born september 19 1952) is an american composer guitarist trumpet player multi-instrumentalist (flutes in c alto and bass keyboard) primarily active in avant-garde and minimalist music. he is best known for his guitar orchestra compositions. he has lived in france since 1987.	n
university of dayton research institute is a research institute led by the university of dayton in dayton ohio. in 2004 and 2005 the research institute was ranked #2 in the nation in federal and industry-funded materials research by the national science foundation. in ohio udri is number one among nonprofit institutions receiving contracts and grants from the department of defense.	t
mazhukeer is a village that lies in the alappuzha district of kerala in india. this village begins from thondra bridge which connects pathanamthitta district and allapuzha district and lies up to a church near kallissery junction. the varattar river is the eastern boundary of mazhukeer. mazhukeer is divided into mel mazukeer (upper mazhukeer) and keez mazukeer (lower mazhukeer).	6
gábor riz (born march 5 1956) is a hungarian educator and politician member of the national assembly (mp) for ózd (borsod-abaúj-zemplén county constituency v) since 2010.riz is a member of the economic and information technology committee since may 14 2010 and committee on education science and research since september 30 2013.	4
